Category,Date,Study,Study Link,Journal,Severe,Severe Significant,Severe Age Adjusted,Severe OR Calculated or Extracted,Fatality,Fatality Significant,Fatality Age Adjusted,Fatality OR Calculated or Extracted,Design,Sample,Study Population,Sample Text,Matches,Entry
Kidney disease ckd ci,2020-03-06,"Clinical features and outcomes of 221 patients with COVID-19 in Wuhan, China",https://doi.org/10.1101/2020.03.02.20030452,medrxiv,,,,,,,,,Case series,221.0,"For this retrospective, single-center study, we recruited 221 patients who were confirmed diagnosed as COVID-19 according to WHO interim guidance, from January 2 to February 10, 2020 at Zhongnan Hospital of Wuhan University, Wuhan, China.","For this retrospective, single-center study, we recruited 221 patients who were confirmed diagnosed as COVID-19 according to WHO interim guidance, from January 2 to February 10, 2020 at Zhongnan Hospital of Wuhan University, Wuhan, China.",Acute kidney injury (AKI) was identified and classified by the highest serum creatinine level or urine output criteria according to the kidney disease improving global outcomes classification.,2020-03-27
Kidney disease ckd ci,2020-03-03,The Impact of the COVID-19 Outbreak on the Medical Treatment of Chinese Children with Chronic Kidney Disease (CKD)：A Multicenter Cross-section Study in the Context of a Public Health Emergency of International Concern,https://doi.org/10.1101/2020.02.28.20029199,medrxiv,,,,,,,,,Cross-sectional,63.0,"A cross-sectional study based on an online questionnaire survey was conducted between 0:00, February 10 th , 2020, and 0:00, February 14 th , 2020, in pediatric nephropathy diagnosis and treatment centers in 17 provinces and municipalities in China.","The age distribution was as follows: 63 patients were younger than 3 years old (8.6%), 160 were between 3 and 6 years old (21.8%), 277 were between 6 and 11 years old (37.7%), and 235 were older than 11 years (31.97%) ( Fig.","Among them, 659 patients had stage I-II CKD (89.6%), 51 had stage III-IV CKD (6.9%), and 25 had stage V CKD and were currently receiving regular blood purification or peritoneal dialysis (3.4%).",2020-03-27
Kidney disease ckd ci,2020-02-23,"SARS-CoV-2 infection does not significantly cause acute renal injury: an analysis of 116 hospitalized patients with COVID-19 in a single hospital, Wuhan, China",https://doi.org/10.1101/2020.02.19.20025288,medrxiv,,,,,,,,,Retrospective observational,116.0,"Methods 116 hospitalized COVID-19-confirmed patients enrolled in this study were hospitalized in the Department of Infectious Diseases, Renmin Hospital of Wuhan University from January 14 to February 13, 2020.","Methods 116 hospitalized COVID-19-confirmed patients enrolled in this study were hospitalized in the Department of Infectious Diseases, Renmin Hospital of Wuhan University from January 14 to February 13, 2020.",Acute kidney injury was identified according to Kidney Disease: Improving Global Outcomes (KDIGO) .,2020-03-27
Kidney disease ckd ci,2020-02-20,Kidney impairment is associated with in-hospital death of COVID-19 patients,https://doi.org/10.1101/2020.02.18.20023242,medrxiv,,,,,,,,,Other,710.0,"All consecutive COVID-19 patients admitted to Tongji hospital, Tongji medical college, Huazhong university of science and technology from January 28 to February 11, 2020 were enrolled.","Results: We included 710 consecutive COVID19 patients, 89 (12.3%) of whom died in hospital.","Conclusion: The prevalence of kidney impairment (hematuria, proteinuria and kidney dysfunction) in hospitalized COVID-19 patients was high.

The prevalence of kidney impairment (abnormal urine analysis and kidney dysfunction) in hospitalized COVID-19 patients was high.",2020-03-27
Liver disease ci,2020-05-31,Liver injury in COVID-19: management and challenges,https://doi.org/10.1016/s2468-1253(20)30057-1,The Lancet Gastroenterology & Hepatology,,,,,,,,,Other,1099,"1, In this Comment, we assess how the liver is affected using the available case studies and data from The Fifth Medical Center of PLS General Hospital, Beijing, China.","Moreover, in a large cohort including 1099 patients from 552 hospitals in 31 provinces or provincial municipalities, more severe patients with disease had abnormal liver aminotransferase levels than did non-severe patients with disease.","Liver diseases including chronic viral hepatitis, non-alcoholic fatty liver disease, and alcohol-related liver disease affect approximately 300 million people in China.",2020-04-17
Liver disease ci,2020-05-08,Clinical characteristics of Coronavirus Disease (COVID-19) patients with gastrointestinal symptoms: A report of 164 cases,https://doi.org/10.1016/j.dld.2020.04.034,Digestive and Liver Disease,,,,,,,,,Case series,504,"Clinical data were extracted from the electronic medical records of 504 patients with confirmed COVID-19 patients who were treated at the Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology and retrospectively analysed.","Clinical data were extracted from the electronic medical records of 504 patients with confirmed COVID-19 patients who were treated at the Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology and retrospectively analysed.","Comorbidities included chronic lung disease, hypertension, coronary heart disease, diabetes, chronic kidney disease, chronic liver disease (including cirrhosis), cerebrovascular disease, and malignancy.",2020-05-12
Liver disease ci,2020-05-06,A WEB-BASED GROUP TREATMENT FOR PATIENTS WITH ALCOHOLIC LIVER DISEASES AT THE TIME OF THE COVID-19 PANDEMIC,https://doi.org/10.1016/j.dld.2020.04.023,Digestive and Liver Disease,,,,,,,,,Other,10,"Ten ALD patients (mean age 44.5 ± 5.0; 40% male) were included from March 11th, 2020.","Ten ALD patients (mean age 44.5 ± 5.0; 40% male) were included from March 11th, 2020.",Alcohol-related liver diseases (ALD) are the most frequent hepatic diseases and the main cause of liver disease-related death and liver transplantation .,2020-05-12
Liver disease ci,2020-04-28,The role of essential organ-based comorbidities in the prognosis of COVID-19 infection patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7196920/,Expert Rev Respir Med,,,,,,,,,Retrospective observational,212,Methods: All consecutive patients diagnosed with COVID-19 admitted to the Zhongnan Hospital of Wuhan University from 11 January to 16 March 2020 were enrolled in this retrospective cohort study.,Results: A total of 212 COVID-19 patients were included.," Heart, liver, and kidney comorbidities were common in COVID-19 patients.

The proportion of cardiovascular diseases, liver diseases, kidney diseases, and ≥2 comorbidities were 15.6%(33/212), 10.8%(23/212), 5.2%(11/212), and 10.4%(22/212), respectively.",2020-05-12
Liver disease ci,2020-04-25,COVID-19 Fatality and Comorbidity Risk Factors among Confirmed Patients in Mexico,https://doi.org/10.1101/2020.04.21.20074591,medrxiv,,,,,,,,,Other,7497,"In this paper we estimate fatality risks based on survival analysis methods, calculated from individual-level data on symptomatic patients confirmed with COVID-19 recently released by the Mexican Ministry of Health.","Our analysis is based on 7,497 patients who tested positive for COVID-19 in Mexico, a subset of a larger dataset of 49,167 patients with COVID-19 related symptoms who sought attention in medical units and were tested with positive, negative (29,301 cases) and pending (12,369 cases) results.","In contrast, high blood pressure increases the estimated hazard by 38% (HR=1.378, 95% CI: 1.086-1.749), immune suppression by 70% (HR=1.696, 95% CI: 1.148-2.505), diabetes by 73% (HR=1.730, 95% CI: 36.0-120.2), COPD by 77% (HR=1.770, 95% CI: 1.269-2.469), obesity by 78% (HR=1.776, 95% CI: 1.415-2.231), and chronic liver disease by 168% (HR=2.679, 95% CI: 1.789-4.014).",2020-05-01
Liver disease ci,2020-04-22,Coronavirus Disease (COVID-19) Pandemic: An Overview of Systematic Reviews,https://doi.org/10.1101/2020.04.16.20068213,medrxiv,,,,,,,,,Systematic review,1063,"Methods: Nine databases (Medline, EMBASE, Cochrane Library, CINAHL, Web of Sciences, PDQ-Evidence, WHO's Global Research, LILACS and Epistemonikos) were searched from December 1, 2019 to March 24, 2020.","Our search retrieved 1,063 publications, of which 175 were duplicates.","There was a higher likelihood that patients with severe disease had hypertension (OR 2.36, 95% CI: 1.46-3.83), respiratory disease (OR 2.46, 95% CI: 1.76-3.44), or cardiovascular disease (OR 3.42, 95% CI: 1.88-6.22), compared with patients with non-severe disease.

The most common comorbidities were hypertension (17±7, 95% CI 14-22%), diabetes (8±6, 95% CI 6-11%), cardiovascular diseases (5±4, 95% CI 4-7%) and respiratory system diseases (2±0, 95% CI 1-3%).",2020-05-01
Liver disease ci,2020-04-21,Gastrointestinal and liver manifestations in patients with COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7176263/,J Chin Med Assoc,,,,,,,,,Other,1099,"Pan et al17 described the clinical characteristics of COVID-19 patients with digestive symptoms in Hubei, China.","In the currently largest cohort including 1099 patients with laboratory-confirmed COVID-19 from 552 hospitals in 30 provinces in China through January 29, 2020, nausea or vomiting and diarrhea were reported in 55 (5%) and 42 (3.8%) patients, respectively.","The impact of COVID-19 in patients with preexisting chronic liver diseases, such as viral hepatitis, nonalcoholic fatty liver disease, and alcohol-related liver disease, remains to be evaluated.

34 The impact of COVID-19 in patients with preexisting chronic liver diseases, such as viral hepatitis, nonalcoholic fatty liver disease, and alcohol-related liver disease, remains to be evaluated.",2020-05-01
Liver disease ci,2020-04-16,Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis,https://doi.org/10.1101/2020.04.12.20062869,medrxiv,,,,,,,,,Systematic review,3473,"Searched Databases included PubMed, Embase, Scopus, Web of Science, Cochrane Library, medRxiv pre-print database as well as Science Direct search engine.",Results: Sixteen papers including 3473 patients entered into meta-analysis for ICU admission and mortality outcome and fifty-nine papers including 9509 patients for descriptive outcomes.,"Results of meta-analysis indicated that acute cardiac injury, (OR: 15.94, 95% CI 2.31-110.14), hypertension (OR: 1.92, 95% CI 1.92-2.74), heart Failure (OR: 11.73, 95% CI 5.17-26.60), other cardiovascular disease (OR: 1.95, 95% CI 1.17-3.24) and overall CVDs (OR: 3.37, 95% CI 2.06-5.52) were significantly associated with mortality in COVID-19 patients.

Results of meta-analysis indicated that acute cardiac injury (OR: 15.94, 95% CI 2.31-110.14), Hypertension (OR: 1.92, 95% CI 1.92-2.74), Heart Failure (OR: 11.73, 95% CI 5.17-26.60), other cardiovascular disease (OR: 1.95, 95% CI 1.17-3.24) and overall CVDs (OR: 3.37, 95% CI 2.06-5.52) were significantly associated with mortality in COVID-19 patients.",2020-04-24
Liver disease ci,2020-04-13,COVID-19: Abnormal liver function tests,https://doi.org/10.1016/j.jhep.2020.04.006,Journal of Hepatology,,,,,,,,,Cross-sectional,417,"Methods Clinical records and laboratory results were obtained from 417 patients with laboratory-confirmed COVID-19 who were admitted to the only referral hospital in Shenzhen, China from January 11 to February 21, 2020 and followed up to March 7, 2020.","Methods Clinical records and laboratory results were obtained from 417 patients with laboratory-confirmed COVID-19 who were admitted to the only referral hospital in Shenzhen, China from January 11 to February 21, 2020 and followed up to March 7, 2020.","Sensitivity analyses excluding 21 patients with preexisting liver disease showed similar results, with the adjusted ORs (95% CIs) for severity being 1.73 (0.94-3.16) and 1.86 (0.58-5.92) in patients with abnormal liver tests and liver injury, respectively (Table not shown) .

After similar adjustment, patients with liver injury were at a 9-fold greater risk of severe COVID-19 ( patients with abnormal liver tests and liver injury during hospitalization, respectively (Table not shown) .

Patients also tended to have underlying liver diseases, including NAFLD, alcoholic liver disease, and chronic hepatitis B (p = 0.001), and had cough as an initial symptom (p = 0.04) ( Table 1) .

Patients with abnormal liver tests of hepatocellular type or mixed type at admission had higher odds of progressing to severe disease (odds ratios [ORs] 2.73; 95% CI 1.19–6.3, and 4.44, 95% CI 1.93–10.23, respectively).",2020-05-12
Liver disease ci,2020-04-08,A model to predict SARS-CoV-2 infection based on the first three-month surveillance data in Brazil.,https://doi.org/10.1101/2020.04.05.20047944,medrxiv,,,,,,,,,Case series,1468,We included the patients reported between 11/01/2020 and 25/03/2020.,Results: We described 1468 COVID-19 cases (confirmed by RT-PCR) and 4271 patients with other illnesses.,Variable Kidney disease OR (95% CI) 0.06 (0 - 1.06) p value 0.06,2020-04-17
Liver disease ci,2020-04-03,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119513/,MMWR Morb Mortal Wkly Rep,,,,,,,,,Other,335,"In contrast, 335 patients aged <19 years were not hospitalized and 1,342 had missing data on hospitalization.","In contrast, 335 patients aged <19 years were not hospitalized and 1,342 had missing data on hospitalization.","Chronic liver disease (41, 0.6%) 24 No. (%)  9 7 1 (0.2)",2020-04-17
Liver disease ci,2020-03-30,"Effects of hypertension, diabetes and coronary heart disease on COVID-19 diseases severity: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.25.20043133,medrxiv,,,,,,,,,Systematic review,182,"Methods Available data from PubMed, Web of Science, China National Knowledge Infrastructure Database, WanFang Database and VIP Database, were analyzed using a fixed effects model meta-analysis to derive overall odds ratios (OR) with 95% CIs.","182 studies were retrieved, and 9 studies were finally included after selection.","There were significant correlations between COVID-19 severity and hypertension [OR=2.3 [95% CI (1.76, 3.00), P<0.01], diabetes [OR=2.67, 95% CI (1.91, 3.74), P<0.01], coronary heart disease [OR=2.85 [95% CI (1.68, 4.84), P<0.01].",2020-04-03
Liver disease ci,2020-03-30,Characteristics and Mechanism of Liver Injury in 2019 Coronavirus Disease,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7132021/,J Clin Transl Hepatol,,,,,,,,,Other,1099,"9 extracted data regarding 1099 patients with laboratory-confirmed COVID-19 from 552 hospitals in mainland China through January 29, 2020.","9 extracted data regarding 1099 patients with laboratory-confirmed COVID-19 from 552 hospitals in mainland China through January 29, 2020.","In addition, given the high burden of chronic liver disease in China, nonalcoholic fatty liver disease, chronic hepatitis B, and liver cirrhosis might be the major alternative causes of liver injury in Chinese patients with COVID-19.",2020-04-17
Liver disease ci,2020-03-26,"COVID-19 clinical characteristics, and sex-specific risk of mortality: Systematic Review and Meta-analysis",https://doi.org/10.1101/2020.03.24.20042903,medrxiv,,,,,,,,,Systematic review,4789,"Methods: We reviewed the scientific literature published from January 1, 2019 to March 3, 2020.",A total of 4789 patients with a mean age of 49 years were evaluated.,"The most common comorbidities were respectively hypertension (18.5 %, CI 12.7-24.4), 246 cardiovascular diseases (14.9 %, CI 6.0-23.8), diabetes (10.8 %, CI 8.3-13.3), chronic liver 247 disease (8.1, CI 4.6-11.6) and smoking (8.0%, CI 2.3-13.6) ( Table 3) .

Acute kidney injury was found in 5.5% (CI 1.3-20.8).",2020-04-03
Liver disease ci,2020-03-20,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medrxiv,,,,,,,,,Systematic review,30,"Methods: The PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.","Results: A total of 30 studies including 53000 patients with COVID-19 were included in this study, the mean age was 49.8 years (95% CI, 47.5-52.2 yrs) and 55.5% were male.","Comorbidities with pooled OR larger than 2 included CKD (6.02; 95% CI, 2.19-16.51; n = 4; I 2 = 0), COPD (5.32; 95% CI, ; n = 6; I 2 = 0%), cerebrovascular diseases (3.19 ; 95% CI, 1.51-6.77; n = 6; I 2 = 0%), tumor (3.21; 95% CI, ; n = 4; I 2 = 30%), diabetes (2.49; 95% CI, ; n = 10; I 2 = 44%) and hypertension (2.06; 95% CI, 1.61-2.62; n = 10; I 2 = 36%) ( Figure 4 , eFigure 5).

The predictor for disease severity included old age (≥ 50 yrs, odds ratio [OR] = 2.61; 95% CI, 2.29-2.98), male (OR =1.348, 95% CI, 1.195-1.521), smoking (OR =1.734, 95% CI, 1.146-2.626) and any comorbidity (OR = 2.635, 95% CI, 2.098-3.309), especially chronic kidney disease (CKD, OR = 6.017; 95% CI, 2.192-16.514), chronic obstructive pulmonary disease (COPD, OR = 5.323; 95% CI, 2.613-10.847) and cerebrovascular disease (OR = 3.219; 95% CI, 1.486-6.972).",2020-03-27
Liver disease ci,2020-03-12,Prevalence of comorbidities and its effects in patients infected with SARS-CoV-2: a systematic review and meta-analysis,https://doi.org/10.1016/j.ijid.2020.03.017,Int J Infect Dis,,,,,,,,,Systematic review,576,"A systematic search was conducted on studies published from January 1, 2019 to February 25, 2020 in PubMed, EMBASE, and Web of Science databases.","As of February 25, 2020, a total of 1 576 participants were included in our meta-analysis.","Higher risk of hypertension (OR 2.36, 95% CI: 1.46–3.83), respiratory system disease (OR 2.46, 95% CI: 1.76–3.44), and cardiovascular disease (OR 3.42, 95% CI: 1.88–6.22) were observed in the severe group.

Higher risk of hypertension (OR 2.36, 95% CI: 1.46-3.83), respiratory system disease (OR 2.46, 95% CI: 1.76-3.44), and cardiovascular disease (OR 3.42, 95% CI: 1.88-6.22) were observed in the severe group.

The most prevalent comorbidities were hypertension (21.1%, 95% CI: 13.0–27.2%) and diabetes (9.7%, 95% CI: 7.2–12.2%), followed by cardiovascular disease (8.4%, 95% CI: 3.8–13.8%) and respiratory system disease (1.5%, 95% CI: 0.9–2.1%).

When compared between severe and non-severe patients, the pooled OR of hypertension, respiratory system disease, and cardiovascular disease were 2.36 (95% CI: 1.46–3.83), 2.46 (95% CI: 1.76–3.44) and 3.42 (95% CI: 1.88–6.22) respectively.",2020-05-12
Liver disease ci,2020-02-28,Analysis of factors associated with disease outcomes in hospitalized patients with 2019 novel coronavirus disease,https://doi.org/10.1097/cm9.0000000000000775,Chin Med J (Engl),,,,,,,,,Other,11,"Patients included in the study had been diagnosed with COVID-19 associated pneumonia between December 30, 2019, and January 15, 2020 , and hospitalized at one of three tertiary hospitals in Wuhan for over two weeks.","A total of 11 patients (14.1%) were included in the progression group, and 67 patients (85.9%) were included in the improvement/stabilization group.","The results of univariate logistic analysis found that age (OR, 10.575; 95% CI: 2.095–53.386; P = 0.004), history of smoking (OR, 12.187; 95% CI: 1.762–84.306; P = 0.011), maximum body temperature at admission (OR, 9.709; 95% CI: 1.176–83.330; P = 0.035), respiratory failure (OR, 8.021; 95% CI: 2.022–31.821; P = 0.003), severe illness (OR, 4.651; 95% CI: 0.930–23.250; P = 0.061), albumin (OR, 12.536; 95% CI: 2.409–65.233; P = 0.003), creatinine (OR, 6.800; 95% CI: 1.424–32.470; P = 0.016), procalcitonin (OR, 3.831; 95% CI: 0.551–27.027; P = 0.071), C-reactive protein (OR, 5.988; 95% CI: 1.179–30.300; P = 0.031) were significantly associated with the disease progression.",2020-05-12
Male ci,2020-07-31,"The implications of preliminary screening and diagnosis: Clinical characteristics of 33 mild patients with SARS-CoV-2 infection in Hunan, China",https://doi.org/10.1016/j.jcv.2020.104397,Journal of Clinical Virology,,,,,,,,,Case series,33,"Admission data for these patients were from January 9, 2020 to February 9, 2020.","Study design From January 19 to February 7, 2020, 33 patients with positive in nucleic acid test of pharyngeal swab were retrospectively collected and analyzed.","Results There are 33 COVID-19 patients (16 male, 17 female), and the median age was 46 years.",2020-05-12
Male ci,2020-06-30,"Positive rate of RT-PCR detection of SARS-CoV-2 infection in 4880 cases from one hospital in Wuhan, China, from Jan to Feb 2020",https://doi.org/10.1016/j.cca.2020.03.009,Clinica Chimica Acta,,,,,,,,,Other,,,,"The male patients are 2251, female are 2629.

The Positive Rate were significantly higher in Male than in Female cases (p<0.01).

But for male, 40.43% were positive while for female, 36.71% were positive ( Table 2 ).",2020-03-27
Male ci,2020-06-30,Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis,https://doi.org/10.1016/j.jcv.2020.104371,Journal of Clinical Virology,,,,,,,,,Systematic review,21,"Methods Medline, SinoMed, EMBASE, and Cochrane Library were searched for clinical and epidemiological studies on confirmed cases of COVID-19.","Twenty-one studies were selected, with a total of 47,344 patients (24,419 male and 22,925 females), representing approximately 40 % of the WHO confirmed.",The sex ratio (male to female) was 1.06 and the overall average age of the subjects was greater than 40 years.,2020-05-12
Male ci,2020-05-08,Characterisation of COVID-19 Pandemic in Paediatric Age Group: A Systematic Review,https://doi.org/10.1016/j.jcv.2020.104395,Journal of Clinical Virology,,,,,,,,,Systematic review,8,Methods Articles published up to the 2nd April 2020 in PubMed and google Scholar were considered for this study.,described eight critically/severely ill patients who were admitted to the ICU.,"Among those patients, males were 59% (147 cases, 95% CI 53-65%) and females were 41% (104 cases, 95% CI 35 -47%).",2020-05-12
Male ci,2020-05-07,Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States,https://doi.org/10.1016/j.cell.2020.04.021,Cell,,,,,,,,,Other,168,"Daily COVID-19 cases from international locations were obtained from the European Centre for Disease Prevention and Control via Our World in Data ( International data were accessed on March 19, 2020.","The COVID-19 Outbreak in Connecticut Is Phylogenetically Linked to SARS-CoV-2 from Washington (A) We constructed a maximum-likelihood tree using 168 global SARS-CoV-2 protein coding sequences, including 9 sequences from COVID-19 patients identified in Connecticut from March 6-14, 2020.", : 0.092 (95% CI = 0.05-0.20).,2020-05-12
Male ci,2020-05-05,Risk Factors of the Severity of COVID-19: A Meta-Analysis,https://doi.org/10.1101/2020.04.30.20086744,medrxiv,,,,,,,,,Systematic review,2272,"Both of the authors searched through PubMed, Google Scholar, EMBASE, and Cochrane Library using keywords:",We have extracted 2272 patients' information from 10 autonomous studies 14-23 and incorporated them into this research.,"The pooled risk ratio for the male suggests higher risk compared to female patients (RR=1.29; 95% CI, 1.07 to 1.54).

This study found sex (male) (Risk ratio [RR] =1.29, 95% CI, 1.07 to 1.54), hypertension (RR=1.79, 95% CI, 1.57 to 2.04), diabetes (RR=1.57, 95% CI, 1.25 to 1.98), fatigue or myalgia (RR=1.17, 95% CI, 1.02; 1.35), and smoking history (RR=1.71, 95% CI,1.25; 2.35) are potential risk factors for the severity of COVID-19.",2020-05-12
Male ci,2020-05-05,Taste Changes (Dysgeusia) in COVID-19: A systematic review and metaanalysis,https://doi.org/10.1053/j.gastro.2020.05.003,Gastroenterology,,,,,,,,,Systematic review,33,"We performed a systematic review of the following databases: PubMed/Medline, Embase, Cochrane, Web of Science from January 1 st -April 21 st , 2020, to identify relevant articles reporting ageusia/dysgeusia as a symptom in laboratory-confirmed COVID-19 patients.","The initial search yielded a total of 33 articles, and after screening duplicates and excluding irrelevant articles, a total of five studies with 817 patients were finally included.","The proportion of female patients was reported in 3 studies (60.7%, 95% CI 51.3% -70.1%).",2020-05-12
Male ci,2020-05-05,"COVID-19 outbreak in Iraqi Kurdistan: The first report characterizing epidemiological, clinical, laboratory, and radiological findings of the disease",https://doi.org/10.1016/j.dsx.2020.04.047,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,,,,,,,,,Other,6,"Methods In this prospective descriptive study, 15 confirmed hospitalized cases of COVID-19 between 18th March and April 7, 2020 were followed-up till discharge.","The study revealed that 6 patients were asymptomatic, and 9 patients were symptomatic.","The patients were male (9, 60.0%) and female (6, 40.0%).",2020-05-12
Male ci,2020-05-02,Modifiable and non-modifiable risk factors for COVID-19: results from UK Biobank,https://doi.org/10.1101/2020.04.28.20083295,medrxiv,,,,,,,,,Case series,1474,March 2020 to 14th April 2020.,"Results were available for 2,724 tests conducted on 1,474 individuals.","Other risk factors included older age (RR 1.10 per 5 year increase (95% CI 1.02-1.36)), male sex (RR 1.64 (95% CI 1.25-2.14)), black ethnicity (RR 1.86 (95% CI 1.03, 3.36)), All rights reserved.

Other risk factors were older age (RR 1.15 per 5 years (95% CI 1.08-1.24)), male sex (RR 1.54 (95% CI 1.24-1.91)), black ethnicity (RR 2.07 (95% CI 1.16, 3.71)), socioeconomic deprivation (RR 1.35 per SD increase in Townsend Index (95% CI 1.23-1.49)).",2020-05-12
Male ci,2020-05-01,Cohort profile: Preliminary experience of 500 COVID-19 postive cases at a South West London District General Hospital.,https://doi.org/10.1101/2020.04.28.20075119,medrxiv,,,,,,,,,Other,163,"The data reviewed as part of this service evaluation included: patient demographic data, patient admission data, COVID-19 swab and result data, ventilatory status and ventilation data (if applicable) and outcome data.","163 patients had died (female 61, male 102).","163 patients had died (female 61, male 102).

56.8% of the admissions were male and 43.2% were female.

By the morning of 14 April 2020, 199 patients had been discharged (Female 89, Male 111), 163 patients had died (female 61, male 102) and 131 remained as in-patients (female 66, male 71).

Of this subgroup, 71% were male and 29% were female.",2020-05-12
Male ci,2020-05-01,"Racial, Economic and Health Inequality and COVID-19 Infection in the United States",https://doi.org/10.1101/2020.04.26.20079756,medrxiv,,,,,,,,,Cross-sectional,1981,"Data source: Data sources in this study include, 1) publicly available data from USAfacts and the US Census Bureau for COVID-19 cases and county-level demographic data, 9, 10 2) COVID-19 data reported by each state on their department of health websites, 9 3) State Population by Race/Ethnicity data, 11, 12 and 4) mobility data extracted from Google.","African Americans were more vulnerable to COVID-19 than other ethnic groups (1,981 African American infected cases versus 658 Whites per million).","CI: -0.41, -0.12, q<0.003).",2020-05-12
Male ci,2020-04-30,Association of viral load with serum biomakers among COVID-19 cases,https://doi.org/10.1016/j.virol.2020.04.011,Virology,,,,,,,,,Other,114,Clinical data were obtained 69 from patients' medical records.,"CoV-2, CRP and SAA from serum of 114 COVID-19 patients on admission.","Also, no statistical 115 significance was found between male and female cases with the same severity 116 (mean, 5.36, 5.20 and 5.36 for male cases; 5.06, 5.10 and 5.81 for female case, 117 respectively, in Figure 1B ).",2020-05-12
Male ci,2020-04-28,"Features of 16,749 hospitalised UK patients with COVID-19 using the ISARIC WHO Clinical Characterisation Protocol",https://doi.org/10.1101/2020.04.23.20076042,medrxiv,,,,,,,,,Prospective observational,16749,"Clinical information from the routine health records of people admitted to 166 hospitals in England Wales and Scotland with proven SARS-CoV-2 infection were extracted into deidentified case report forms on a REDCap database (Research Electronic Data Capture, Vanderbilt University (USA) hosted by University of Oxford (UK), by 2,468 research nurses, administrators and volunteer medical students.","Between 6 th February and 14:00 on 18 th April 2020, CCP-UK recruited 16,749 patients admitted to hospital with COVID-19 in England, Scotland and Wales.","Female sex was associated with lower mortality HR 0.80 (CI 0.72, 0.89, p<0.001).",2020-05-01
Male ci,2020-04-27,First reported nosocomial outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in a pediatric dialysis unit,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197625/,Clin Infect Dis,,,,,,,,,Other,15,Here we report a nosocomial outbreak of SARS-CoV-2 infections in the pediatric dialysis unit of the University Hospital of Münster (UHM).,"In total 15 cases were of male, 33 of female sex.","In total 15 cases were of male, 33 of female sex.",2020-05-12
Male ci,2020-04-27,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study",https://doi.org/10.1016/s1473-3099(20)30287-5,The Lancet Infectious Diseases,,,,,,,,,Retrospective observational,292,"Here, we analyse confirmed cases identified by the Shenzhen CDC between Jan 14 and Feb 12, 2020, and close contacts of cases confirmed before Feb 9, 2020.","Overall, 1286 close contacts were identified for index cases testing positive for SARS-CoV-2 between Jan 14 and Feb 9, 2020, with 244 (84%) of 292 cases having at least one close contact.","In multiple logistic regression, male sex was associated with severe symptoms (odds ratio [OR] 2·5 [95% CI 1·1-6·1]).",2020-05-01
Male ci,2020-04-25,COVID-19 Fatality and Comorbidity Risk Factors among Confirmed Patients in Mexico,https://doi.org/10.1101/2020.04.21.20074591,medrxiv,,,,,,,,,Other,7497,"In this paper we estimate fatality risks based on survival analysis methods, calculated from individual-level data on symptomatic patients confirmed with COVID-19 recently released by the Mexican Ministry of Health.","Our analysis is based on 7,497 patients who tested positive for COVID-19 in Mexico, a subset of a larger dataset of 49,167 patients with COVID-19 related symptoms who sought attention in medical units and were tested with positive, negative (29,301 cases) and pending (12,369 cases) results.","The risk is higher for males (14.72%, 95% CI: 13.27-16.31) than females (9.09%, 95% CI: 7.86-10.49).",2020-05-01
Male ci,2020-04-25,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7182738/,Indian Pediatr,,,,,,,,,Other,171,The largest series on children analyzing suspected and confirmed COVID cases is from the electronic data base of Chinese CDC .,"A prospective study from China involving 171 children with confirmed COVID-19 reported fever (41%) with a median duration of 3 days (1-16), cough (48%), pharyngeal erythema (46%) tachypnea (28%) and diarrhea (8.8%).",The mean age of these ICU patients was 60 years with male: female ratio of 2:1 and 50% had chronic illness.,2020-05-01
